L	1	We have visited the client on 27/10/2040.
L	2	I had already informed the customer on 27/10/2040.
L	3	We have visited the client on 27/10/2010.
L	4	I had already informed the customer on 27/10/2010.
L	5	We will inform the client on 27/10/2010.
L	6	He promised to do it before 30/08/2020.
L	7	The data collected from 8/12/2019 to 8/29/2019 contained a lot of errors.
L	8	On 27/10/2040, we have visited the client.
L	9	On 27/10/2040, I had already informed the customer.
L	10	On 27/10/2010, we have visited the client.
L	11	On 27/10/2010, I had already informed the customer.
L	12	On 27/10/2010, we will inform the client.
L	13	He promised to do it before 30/08/2020.
L	14	We visited the client on 27/10/2040.
L	15	I already informed the customer on 27/10/2040.
L	16	We visited the client on 27/10/2010.
L	17	I already informed the customer on 27/10/2010.
L	18	We will inform the client on 27/10/2010.
L	19	He promised to do it before 30/08/2020.
L	20	On 27/10/2040, we visited the client.
L	21	On 27/10/2040, I already informed the customer.
L	22	On 27/10/2010, we visited the client.
L	23	On 27/10/2010, I already informed the customer.
L	24	On 27/10/2010, we will inform the client.
L	25	He promised to do it before 30/08/2020.
L	26	We have visited the client on 27/10/2040.
L	27	I had already informed the customer on 27/10/2040.
L	28	We have visited the client on 27/10/2010.
L	29	I had already informed the customer on 27/10/2010.
L	30	We will inform the client on 27/10/2010.
L	31	He promised to do it before 30/08/2020.
L	32	The data collected from 8/12/2019 to 8/29/2019 contained a lot of errors.
L	33	On 27/10/2040, we have visited the client.
L	34	On 27/10/2040, I had already informed the customer.
L	35	On 27/10/2010, we have visited the client.
L	36	On 27/10/2010, I had already informed the customer.
L	37	On 27/10/2010, we will inform the client.
L	38	He promised to do it before 30/08/2020.
L	39	We visited the client on 27/10/2040.
L	40	I already informed the customer on 27/10/2040.
L	41	We visited the client on 27/10/2010.
L	42	I already informed the customer on 27/10/2010.
L	43	We will inform the client on 27/10/2010.
L	44	He promised to do it before 30/08/2020.
L	45	On 27/10/2040, we visited the client.
L	46	On 27/10/2040, I already informed the customer.
L	47	On 27/10/2010, we visited the client.
L	48	On 27/10/2010, I already informed the customer.
L	49	On 27/10/2010, we will inform the client.
L	50	He promised to do it before 30/08/2020.
L	51	Your texts are stored for ever.
M	51	FOR_EVER_US	1	22	30	Other	The adverb <suggestion>forever</suggestion> is spelled as one word.	forever
L	52	I promise that I will take a look later.
L	53	Tom is having a break in the lunchroom.
L	54	Tom is having a break in the lunchrooms.
L	55	I've got a full, clean driver's licence.
M	55	MORFOLOGIK_RULE_EN_US		32	39	UnknownWord	Possible spelling mistake. 'licence' is British English.	license
L	56	He loved to eat eggplants for breakfast.
L	57	Please enter your zip code.
L	58	Zip codes are not always necessary.
L	59	These apartments are expensive.
L	60	I just bought the apartment.
L	61	I just bought an apartment.
L	62	I just bought an apartment.
L	63	Where's the band-aid?
L	64	These band-aids are dirty.
L	65	Do vegetarians eat ground beef?
L	66	Let's go to a movie theater.
L	67	Movie theaters are popular, despite the new online movie streaming services.
L	68	Edward Norton – not appearing in a cinema near you.
L	69	He has gotten some food.
L	70	He's gotten up on the wrong side of bed.
L	71	Natural gas.
L	72	More gas.
L	73	Please show me your license.
L	74	Please show me your licenses.
L	75	The automobile has a small trunk.
L	76	Automobiles that have large trunks are usually expensive.
L	77	Trunks on some automobiles are at the front.
L	78	This Volkswagen has a large trunk.
L	79	Volkswagens and Chryslers usually have large trunks.
L	80	The elephant's trunk is long.
L	81	This tree trunk is large.
L	82	The trunks of some trees were damaged during the storm.
L	83	The arterial trunks of some rivers are ...
L	84	Trunks (swimming) of various colours are available from ...
M	84	MORFOLOGIK_RULE_EN_US		29	36	UnknownWord	Possible spelling mistake. 'colours' is British English.	colors
L	85	If the electrical trunking on the car is ...
L	86	Put the trunk into the car boot.
L	87	The car boot contained trunks of many colours.
M	87	MORFOLOGIK_RULE_EN_US		38	45	UnknownWord	Possible spelling mistake. 'colours' is British English.	colors
L	88	The car boots contained trunks of many sizes.
L	89	Put these items into the boot of the car: trunk, table, chair, kitchen sink.
L	90	Put the trunks into the boot of the car.
L	91	The lace on this boot is frayed.
L	92	The car boot contained a trunk and a ...
L	93	The car's boot contained a trunk and a ...
L	94	The trunks were in our car’s boot.
L	95	In the United Kingdom, trunk roads were first defined for Great Britain in the Trunk Roads Act 1936.
L	96	Trunk Muzik is a mixtape by southern rapper Yelawolf.
M	96	MORFOLOGIK_RULE_EN_US		6	11	UnknownWord	Possible spelling mistake found.	Muzak|Muzhik
M	96	MORFOLOGIK_RULE_EN_US		44	52	UnknownWord	Possible spelling mistake found.	Werewolf|Yellowly
L	97	This air plane is very quiet.
M	97	EN_COMPOUNDS_AIR_PLANE		5	14	Other	This word is normally spelled as one.	airplane
L	98	These air planes can fly for 12 hours when they are fully loaded with fuel.
M	98	EN_COMPOUNDS_AIR_PLANES		6	16	Other	This word is normally spelled as one.	airplanes
L	99	This aeroplane is very quiet.
M	99	EN_US_SIMPLE_REPLACE_AEROPLANE		5	14	Other	'aeroplane' is a common British expression. Consider using expressions more common to American English.	airplane
L	100	Use a 6-millimeter bolt.
L	101	Use a 6-millimetre bolt.
M	101	SI_UNITS_OF_MEASUREMENT_ADJECTIVES_BRE	1	6	18	Hint	The word '6-millimetre' is an adjective (SI unit of measurement), but the spelling is not correct American English.	
L	102	Do not find incorrect English: use a 10-millimeters bolt.
M	102	SI_UNITS_OF_MEASURMENT_ADJECTIVES_PLURAL	1	37	51	Other	The word '10-millimeters' is an adjective (SI unit of measurement), but the spelling is not correct. Do not use a plural adjective. Refer to section 5.4.3 in 'SI Brochure: The International System of Units (SI)'.	
L	103	The 4.6-centigram difference is not a problem.
L	104	Use a 10-meter rope.
L	105	Also find typographic errors: a 5.7.8-femtoliter difference is not important.
L	106	John took a nap after lunch.
L	107	You can't take your bath now because I'm cleaning the bathroom.
L	108	Mary will take her vacation in Paris.
L	109	I was thinking about taking a rest, but I decided to complete the work.
L	110	While I was taking a bath, I thought about how to lay the bedroom carpet.
L	111	Does she take a bath in her vacation home or only a shower?
L	112	Who took a bath in the morning?
L	113	John had a nap after lunch.
L	114	Ok, I'll let you know.
L	115	Are you ok?
L	116	I don't want to do this anymore.
L	117	I don't want to do this any more.
M	117	ANY_MORE	1	24	32	Other	Did you mean the adverb <suggestion>anymore</suggestion>?	anymore
L	118	The union jack is the national flag of the UK.
M	118	EN_SPECIFIC_CASE		4	14	Other	If the term is a proper noun, use initial capitals.	Union Jack
L	119	We have visited the client on 27/10/2040.
L	120	I had already informed the customer on 27/10/2040.
L	121	We have visited the client on 27/10/2010.
L	122	I had already informed the customer on 27/10/2010.
L	123	We will inform the client on 27/10/2010.
L	124	He promised to do it before 30/08/2020.
L	125	The data collected from 8/12/2019 to 8/29/2019 contained a lot of errors.
L	126	On 27/10/2040, we have visited the client.
L	127	On 27/10/2040, I had already informed the customer.
L	128	On 27/10/2010, we have visited the client.
L	129	On 27/10/2010, I had already informed the customer.
L	130	On 27/10/2010, we will inform the client.
L	131	He promised to do it before 30/08/2020.
L	132	We visited the client on 27/10/2040.
L	133	I already informed the customer on 27/10/2040.
L	134	We visited the client on 27/10/2010.
L	135	I already informed the customer on 27/10/2010.
L	136	We will inform the client on 27/10/2010.
L	137	He promised to do it before 30/08/2020.
L	138	On 27/10/2040, we visited the client.
L	139	On 27/10/2040, I already informed the customer.
L	140	On 27/10/2010, we visited the client.
L	141	On 27/10/2010, I already informed the customer.
L	142	On 27/10/2010, we will inform the client.
