L	1	Nu har hunden hunden aldrig gået så meget.
M	1	Ordgentagelse	1	7	20	Other	Ordgentagelse: Du har gentaget <suggestion>hunden</suggestion>.	hunden
L	2	Men så så drengen en drage.
L	3	En skal skal op af havet.
L	4	En hunds hunds hale er lang.
L	5	Hundens skal skal fikses.
L	6	Nu er er aldrig gået så meget.
M	6	Ordgentagelse	2	3	8	Other	Ordgentagelse: Du har gentaget <suggestion>er</suggestion>.	er
L	7	Men så så drengen en drage.
L	8	En skal skal op af havet.
L	9	Nu er jeg jeg meget træt.
M	9	Ordgentagelse	1	6	13	Other	Ordgentagelse: Du har gentaget <suggestion>jeg</suggestion>.	jeg
L	10	Men så så drengen en drage.
L	11	En skal skal op af havet.
L	12	Nu er min min hals meget træt.
M	12	Ordgentagelse	4	6	13	Other	Ordgentagelse: Du har gentaget <suggestion>min</suggestion>.	min
L	13	Men så så drengen en drage.
L	14	En skal skal op af havet.
L	15	Den mark er meget stor stor.
M	15	Ordgentagelse	5	18	27	Other	Ordgentagelse: Du har gentaget <suggestion>stor</suggestion>.	stor
L	16	En skal skal op af havet.
L	17	I 1700 tallet fandtes ingen fly.
M	17	Tal-bindestreger	1	2	13	Other	Det skal muligvis skrives med bindestreg: <suggestion>1700-tallet</suggestion>.	1700-tallet
L	18	30 års-krigen varede 30 år.
M	18	Tal-bindestreger	1	0	13	Other	Det skal muligvis skrives med bindestreg: <suggestion>30-års-krigen</suggestion>.	30-års-krigen
L	19	Han er et 3 årigt barn.
M	19	Tal-bindestreger	1	10	17	Other	Det skal muligvis skrives med bindestreg: <suggestion>3-årigt</suggestion>.	3-årigt
L	20	Det er hans 70-års-fødselsdag.
L	21	Pesten hærgede i 1300-tallet.
L	22	I 1970erne opstod metalgenren.
M	22	Tal_appostrof	1	2	10	Other	Mangler muligvis appostrof mellem tallet og endelsen: <suggestion>1970'erne</suggestion>.	1970'erne
L	23	Han betalte med en 20er.
M	23	Tal_appostrof	1	19	23	Other	Mangler muligvis appostrof mellem tallet og endelsen: <suggestion>20'er</suggestion>.	20'er
L	24	Han blev født i 1920'erne.
M	24	HUNSPELL_RULE		21	25	UnknownWord	Mulig stavefejl fundet	arne|rene|ene|rerne|terne|kerne|gerne|ferne|øerne|jerne|åerne|Terne|ener|orne|egne
L	25	Agent 007's bil er funktionel.
L	26	Det lå indeni et skab.
L	27	Det lå udenfor et hus.
L	28	Det lå ovenpå et træ.
L	29	Vi går indenfor.
L	30	Inden for et lands grænser.
L	31	Vi gik udenfor et øjeblik.
L	32	De legede udenfor kanoen.
L	33	Pengene ligger indeni.
L	34	De gik oven på taget.
L	35	De legede udenfor store kanoer.
L	36	Pengene ligger indeni.
L	37	De gik oven på taget.
L	38	Der var femtusindeogtreoghalvtreds kanoer.
M	38	talord	1	8	34	Other	Talord over hundrede skrives i flere ord: <suggestion>fem tusinde og treoghalvtreds</suggestion>.	fem tusinde og treoghalvtreds
L	39	Der var femtusindeoghalvtreds kanoer.
M	39	talord	1	8	29	Other	Talord over hundrede skrives i flere ord: <suggestion>fem tusinde og halvtreds</suggestion>.	fem tusinde og halvtreds
L	40	Der var femmillionerfemtusindetrehundredeoghalvtreds kanoer.
M	40	talord	1	8	52	Other	Talord over hundrede skrives i flere ord: <suggestion>fem millioner fem tusinde tre hundrede og halvtreds</suggestion>.	fem millioner fem tusinde tre hundrede og halvtreds
L	41	Der var femmillionerogtitusindogtrehundredeoghalvtreds kanoer.
